atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2021-09-10,2021-09-14,0,1.26,1.16,1.26,1.22,1.26,1203000,1500600,1.24738155,1.26,1.16,1.26,1.22,1.26,1203000,1.24738,0.09565
2021-09-09,2021-09-13,0,1.15,0.51,1.22,1.1,1.23,1270000,1433800,1.12897638,1.15,0.51,1.22,1.1,1.23,1270000,1.12898,-0.04167
2021-09-08,2021-09-10,0,1.2,1.04,1.29,0,0,10000,10100,1.01,1.2,1.04,1.29,0,0,10000,1.01,0
2021-09-07,2021-09-09,0,1.2,1.05,1.29,1.2,1.22,60000,68800,1.14666667,1.2,1.05,1.29,1.2,1.22,60000,1.14667,-0.01639
2021-09-06,2021-09-08,0,1.22,1.12,1.28,1.15,1.22,2720000,3306020,1.21544853,1.22,1.12,1.28,1.15,1.22,2720000,1.21545,0.04274
2021-09-03,2021-09-07,0,1.17,1.12,1.2,1,1.2,2593000,2889260,1.11425376,1.17,1.12,1.2,1,1.2,2593000,1.11425,0.05405
2021-09-02,2021-09-06,0,1.11,1.05,1.11,1.1,1.11,31000,34220,1.10387097,1.11,1.05,1.11,1.1,1.11,31000,1.10387,0.00909
2021-09-01,2021-09-03,0,1.1,0.99,1.1,0.91,1.1,228000,221750,0.97258772,1.1,0.99,1.1,0.91,1.1,228000,0.97259,0.22222
2021-08-31,2021-09-02,0,0.9,0.89,0.9,0.9,1.04,79000,73630,0.93202532,0.9,0.89,0.9,0.9,1.04,79000,0.93203,-0.14286
2021-08-30,2021-09-01,0,1.05,1.04,1.05,1.05,1.06,42000,44300,1.0547619,1.05,1.04,1.05,1.05,1.06,42000,1.05476,-0.02778
2021-08-27,2021-08-31,0,1.08,1.08,1.1,1.08,1.1,10000,10900,1.09,1.08,1.08,1.1,1.08,1.1,10000,1.09,-0.01818
2021-08-26,2021-08-30,0,1.1,1.09,1.15,1.1,1.17,19000,21320,1.12210526,1.1,1.09,1.15,1.1,1.17,19000,1.12211,0
2021-08-25,2021-08-27,0,1.1,1.1,1.11,1.1,1.11,31000,34150,1.1016129,1.1,1.1,1.11,1.1,1.11,31000,1.10161,-0.04348
2021-08-24,2021-08-26,0,1.15,1.1,1.15,1.09,1.2,48000,54570,1.136875,1.15,1.1,1.15,1.09,1.2,48000,1.13688,-0.04167
2021-08-23,2021-08-25,0,0.06,0.057,0.06,0.054,0.06,2220000,127960,0.05763964,1.2,1.14,1.2,1.08,1.2,111000,1.15279,0.09091
2021-08-20,2021-08-24,0,0.055,0.054,0.057,0.05,0.057,2980000,157500,0.05285235,1.1,1.08,1.14,1,1.14,149000,1.05705,-0.01786
2021-08-19,2021-08-23,0,0.056,0.055,0.058,0.055,0.063,4980000,297120,0.05966265,1.12,1.1,1.16,1.1,1.26,249000,1.19325,-0.08197
2021-08-18,2021-08-20,0,0.061,0.059,0.061,0.059,0.064,6420000,391640,0.06100312,1.22,1.18,1.22,1.18,1.28,321000,1.22006,-0.03175
2021-08-17,2021-08-19,0,0.063,0.061,0.063,0.059,0.064,7120000,435080,0.06110674,1.26,1.22,1.26,1.18,1.28,356000,1.22213,0.03279
2021-08-16,2021-08-18,0,0.061,0.061,0.063,0.06,0.063,920000,57300,0.06228261,1.22,1.22,1.26,1.2,1.26,46000,1.24565,0.01667
2021-08-13,2021-08-17,0,0.06,0.059,0.062,0.058,0.062,1280000,78460,0.06129688,1.2,1.18,1.24,1.16,1.24,64000,1.22594,-0.03226
2021-08-12,2021-08-16,0,0.062,0.058,0.062,0.058,0.062,1600000,95220,0.0595125,1.24,1.16,1.24,1.16,1.24,80000,1.19025,0.08772
2021-08-11,2021-08-13,0,0.057,0.055,0.058,0.052,0.057,2080000,112480,0.05407692,1.14,1.1,1.16,1.04,1.14,104000,1.08154,0.07547
